school,sex,age,Pstatus,studytime,failures,paid,activities,higher,romantic,famrel,freetime,goout,health,absences,G1,G2,G3,G1_10,G2_10,G3_10,school_encoded,sex_encoded,Pstatus_encoded,paid_encoded,activities_encoded,higher_encoded,romantic_encoded,G_Avg
GP,M,15.0,T,2.0,0,yes,no,yes,no,5.0,4.0,2,5,0.0,9,11,12,4.5,5.5,6.0,0,1,1,1,0,1,0,10.0
GP,M,15.0,T,2.0,0,no,yes,yes,no,4.0,3.0,1,5,0.0,17,16,17,8.5,8.0,8.5,0,1,1,0,1,1,0,16.5
GP,M,15.0,T,2.0,0,no,yes,yes,yes,4.0,5.0,2,5,0.0,17,16,16,8.5,8.0,8.0,0,1,1,0,1,1,1,16.5
GP,M,15.0,T,2.0,0,no,yes,yes,no,5.0,3.0,2,2,0.0,8,10,12,4.0,5.0,6.0,0,1,1,0,1,1,0,9.0
GP,M,16.0,T,1.0,0,yes,no,yes,no,5.0,4.0,3,5,0.0,12,14,15,6.0,7.0,7.5,0,1,1,1,0,1,0,13.0
GP,F,15.0,T,1.0,0,no,yes,yes,no,3.0,5.0,1,5,0.0,8,7,6,4.0,3.5,3.0,0,0,1,0,1,1,0,7.5
GP,M,15.0,T,3.0,0,no,yes,yes,no,5.0,4.0,3,4,2.0,15,16,18,7.5,8.0,9.0,0,1,1,0,1,1,0,15.5
GP,M,16.0,A,3.0,0,no,yes,yes,yes,2.5,4.0,3,5,7.0,15,16,15,7.5,8.0,7.5,0,1,0,0,1,1,1,15.5
GP,F,15.0,T,3.0,0,yes,yes,yes,no,4.0,3.0,2,5,2.0,12,12,11,6.0,6.0,5.5,0,0,1,1,1,1,0,12.0
GP,F,15.0,T,1.0,0,yes,yes,yes,no,4.0,3.0,1,2,8.0,14,13,13,7.0,6.5,6.5,0,0,1,1,1,1,0,13.5
GP,F,16.0,T,2.0,1,no,yes,yes,yes,3.0,3.0,3,3,20.0,7,10,11,3.5,5.0,5.5,0,0,1,0,1,1,1,8.5
GP,M,15.0,T,1.0,0,no,no,yes,yes,5.0,4.0,3,5,8.0,12,12,12,6.0,6.0,6.0,0,1,1,0,0,1,1,12.0
GP,M,15.0,T,2.0,0,no,yes,yes,no,4.0,3.0,3,5,2.0,19,18,18,9.5,9.0,9.0,0,1,1,0,1,1,0,18.5
GP,M,15.0,T,1.0,0,no,no,yes,no,5.0,4.0,1,1,0.0,8,8,11,4.0,4.0,5.5,0,1,1,0,0,1,0,8.0
GP,F,16.0,T,2.0,1,no,yes,yes,no,4.0,3.0,3,5,14.0,10,10,9,5.0,5.0,4.5,0,0,1,0,1,1,0,10.0
GP,F,15.0,A,2.0,0,yes,yes,yes,yes,5.0,2.0,2,5,8.0,8,8,6,4.0,4.0,3.0,0,0,0,1,1,1,1,8.0
GP,F,16.0,A,2.0,0,no,no,yes,no,2.5,3.0,5,3,12.0,11,12,11,5.5,6.0,5.5,0,0,0,0,0,1,0,11.5
GP,M,16.0,T,3.5,0,no,yes,yes,no,4.0,2.0,2,2,4.0,19,19,20,9.5,9.5,10.0,0,1,1,0,1,1,0,19.0
GP,M,15.0,T,2.0,0,yes,no,yes,no,4.0,3.0,3,5,2.0,15,15,14,7.5,7.5,7.0,0,1,1,1,0,1,0,15.0
GP,F,15.0,T,2.0,1,no,yes,yes,no,4.0,4.0,4,3,2.0,7,7,7,3.5,3.5,3.5,0,0,1,0,1,1,0,7.0
GP,F,16.0,T,2.0,0,yes,no,yes,no,4.0,3.0,3,4,2.0,12,13,13,6.0,6.5,6.5,0,0,1,1,0,1,0,12.5
GP,F,15.0,T,2.0,0,yes,no,yes,no,4.0,3.0,3,5,2.0,11,13,13,5.5,6.5,6.5,0,0,1,1,0,1,0,12.0
GP,M,15.0,A,1.0,1,no,no,yes,no,5.0,5.0,5,5,6.0,11,11,10,5.5,5.5,5.0,0,1,0,0,0,1,0,11.0
GP,F,15.0,T,1.0,0,yes,no,yes,no,3.0,3.0,4,5,0.0,8,10,11,4.0,5.0,5.5,0,0,1,1,0,1,0,9.0
GP,F,15.0,A,1.0,0,yes,no,yes,no,5.0,3.0,4,1,6.0,10,13,13,5.0,6.5,6.5,0,0,0,1,0,1,0,11.5
GP,F,16.0,A,2.0,0,yes,yes,yes,yes,5.0,3.0,4,2,8.0,8,9,10,4.0,4.5,5.0,0,0,0,1,1,1,1,8.5
GP,F,15.0,A,2.0,0,yes,yes,yes,no,4.0,3.0,2,1,0.0,14,15,15,7.0,7.5,7.5,0,0,0,1,1,1,0,14.5
GP,M,15.0,T,2.0,0,no,yes,yes,no,3.0,2.0,2,5,4.0,14,15,15,7.0,7.5,7.5,0,1,1,0,1,1,0,14.5
GP,M,15.0,T,2.0,0,no,yes,yes,no,4.0,3.0,2,5,2.0,9,10,9,4.5,5.0,4.5,0,1,1,0,1,1,0,9.5
GP,F,16.0,T,2.0,0,no,no,yes,no,4.0,2.0,3,5,2.0,15,16,16,7.5,8.0,8.0,0,0,1,0,0,1,0,15.5
GP,F,16.0,T,2.0,0,no,yes,yes,no,2.5,4.0,4,4,6.0,10,11,11,5.0,5.5,5.5,0,0,1,0,1,1,0,10.5
GP,F,16.0,T,1.0,0,no,yes,yes,yes,5.0,5.0,5,5,6.0,10,8,11,5.0,4.0,5.5,0,0,1,0,1,1,1,9.0
GP,F,16.0,T,2.0,0,no,yes,yes,no,4.0,4.0,3,1,4.0,8,10,9,4.0,5.0,4.5,0,0,1,0,1,1,0,9.0
GP,F,16.0,T,3.0,0,yes,yes,yes,no,3.0,4.0,4,4,2.0,10,9,9,5.0,4.5,4.5,0,0,1,1,1,1,0,9.5
GP,F,15.0,T,2.0,0,no,yes,yes,yes,4.0,4.0,4,2,0.0,10,10,10,5.0,5.0,5.0,0,0,1,0,1,1,1,10.0
GP,F,16.0,T,2.0,0,no,yes,yes,no,5.0,4.0,3,1,2.0,16,15,15,8.0,7.5,7.5,0,0,1,0,1,1,0,15.5
GP,M,15.0,A,3.5,0,no,yes,yes,yes,2.5,3.0,3,3,4.0,13,13,12,6.5,6.5,6.0,0,1,0,0,1,1,1,13.0
GP,F,16.0,T,3.5,0,yes,no,yes,no,4.0,3.0,3,5,4.0,7,7,6,3.5,3.5,3.0,0,0,1,1,0,1,0,7.0
GP,F,15.0,T,2.0,0,yes,no,yes,no,4.0,1.5,3,4,2.0,8,9,8,4.0,4.5,4.0,0,0,1,1,0,1,0,8.5
GP,F,15.0,T,3.5,0,no,no,yes,no,4.0,4.0,2,3,12.0,16,16,16,8.0,8.0,8.0,0,0,1,0,0,1,0,16.0
GP,M,16.0,T,3.5,0,yes,no,yes,no,4.0,3.0,2,5,0.0,13,15,15,6.5,7.5,7.5,0,1,1,1,0,1,0,14.0
GP,M,15.0,T,3.5,0,no,no,yes,no,3.0,3.0,3,3,0.0,10,10,10,5.0,5.0,5.0,0,1,1,0,0,1,0,10.0
GP,F,15.0,T,2.0,2,no,no,yes,yes,3.0,3.0,4,5,2.0,8,6,5,4.0,3.0,2.5,0,0,1,0,0,1,1,7.0
GP,M,16.0,T,1.0,0,no,yes,yes,no,5.0,3.0,2,5,2.0,12,12,14,6.0,6.0,7.0,0,1,1,0,1,1,0,12.0
GP,F,16.0,T,2.0,0,yes,yes,yes,no,4.0,3.0,3,5,20.0,11,12,11,5.5,6.0,5.5,0,0,1,1,1,1,0,11.5
GP,M,15.0,T,2.0,0,yes,yes,yes,no,4.0,3.0,3,5,6.0,9,9,10,4.5,4.5,5.0,0,1,1,1,1,1,0,9.0
GP,M,15.0,T,3.5,0,no,yes,yes,no,3.0,4.0,3,1,8.0,11,11,10,5.5,5.5,5.0,0,1,1,0,1,1,0,11.0
GP,F,16.0,T,3.5,0,yes,no,yes,yes,5.0,2.0,3,3,0.0,11,11,11,5.5,5.5,5.5,0,0,1,1,0,1,1,11.0
GP,M,17.0,T,1.0,3,no,yes,no,no,4.0,5.0,1,3,2.0,8,8,10,4.0,4.0,5.0,0,1,1,0,1,0,0,8.0
GP,F,16.0,T,2.0,0,no,no,yes,no,2.5,4.0,3,3,12.0,5,5,5,2.5,2.5,2.5,0,0,1,0,0,1,0,5.0
GP,M,15.0,T,1.0,0,yes,yes,yes,yes,3.0,2.0,2,3,2.0,10,12,12,5.0,6.0,6.0,0,1,1,1,1,1,1,11.0
GP,M,15.0,T,3.0,0,yes,no,yes,no,5.0,3.0,2,5,4.0,11,10,11,5.5,5.0,5.5,0,1,1,1,0,1,0,10.5
GP,F,15.0,T,2.0,0,yes,no,yes,no,4.0,4.0,4,5,10.0,7,6,6,3.5,3.0,3.0,0,0,1,1,0,1,0,6.5
GP,M,15.0,T,2.0,0,yes,yes,yes,no,5.0,3.0,3,4,4.0,15,15,15,7.5,7.5,7.5,0,1,1,1,1,1,0,15.0
GP,F,15.0,T,2.0,0,no,yes,yes,no,4.0,3.0,2,4,2.0,9,10,10,4.5,5.0,5.0,0,0,1,0,1,1,0,9.5
GP,F,15.0,T,2.0,2,yes,no,yes,yes,4.0,4.0,4,5,6.0,7,9,8,3.5,4.5,4.0,0,0,1,1,0,1,1,8.0
GP,F,16.0,T,2.0,0,no,no,yes,no,4.0,3.0,4,2,4.0,8,7,6,4.0,3.5,3.0,0,0,1,0,0,1,0,7.5
GP,F,15.0,T,3.0,0,no,yes,yes,no,5.0,3.0,3,1,4.0,13,14,14,6.5,7.0,7.0,0,0,1,0,1,1,0,13.5
GP,M,16.0,T,2.0,1,yes,yes,yes,no,4.0,4.0,2,3,12.0,11,10,10,5.5,5.0,5.0,0,1,1,1,1,1,0,10.5
GP,M,16.0,A,2.0,0,no,no,yes,no,4.0,1.5,3,5,18.0,8,6,7,4.0,3.0,3.5,0,1,0,0,0,1,0,7.0
GP,F,16.0,T,3.0,0,yes,no,yes,yes,4.0,3.0,3,4,0.0,7,7,8,3.5,3.5,4.0,0,0,1,1,0,1,1,7.0
GP,F,15.0,T,1.0,0,yes,yes,yes,no,4.0,5.0,5,1,4.0,16,17,18,8.0,8.5,9.0,0,0,1,1,1,1,0,16.5
GP,F,16.0,T,2.0,0,no,no,yes,no,3.0,3.0,3,2,4.0,7,6,6,3.5,3.0,3.0,0,0,1,0,0,1,0,6.5
GP,F,16.0,T,2.0,0,yes,yes,yes,no,5.0,3.0,3,1,0.0,11,10,10,5.5,5.0,5.0,0,0,1,1,1,1,0,10.5
GP,M,15.0,T,3.5,0,no,yes,yes,no,4.0,3.0,4,4,6.0,11,13,14,5.5,6.5,7.0,0,1,1,0,1,1,0,12.0
GP,F,15.0,T,3.5,1,yes,yes,yes,no,3.0,1.5,2,1,2.0,7,10,10,3.5,5.0,5.0,0,0,1,1,1,1,0,8.5
GP,M,16.0,T,1.0,0,no,yes,yes,no,3.0,3.0,3,4,2.0,11,15,15,5.5,7.5,7.5,0,1,1,0,1,1,0,13.0
GP,F,16.0,T,2.0,0,yes,no,yes,yes,4.0,3.0,5,5,2.0,8,9,10,4.0,4.5,5.0,0,0,1,1,0,1,1,8.5
GP,F,16.0,T,1.0,0,no,yes,yes,no,5.0,3.0,4,1,6.0,11,14,14,5.5,7.0,7.0,0,0,1,0,1,1,0,12.5
GP,F,16.0,T,3.0,0,yes,no,yes,no,5.0,3.0,5,3,0.0,7,9,8,3.5,4.5,4.0,0,0,1,1,0,1,0,8.0
GP,M,16.0,T,1.0,0,yes,yes,yes,no,4.0,5.0,5,4,14.0,7,7,5,3.5,3.5,2.5,0,1,1,1,1,1,0,7.0
GP,M,16.0,T,3.0,0,no,yes,yes,yes,4.0,4.0,3,4,0.0,16,17,17,8.0,8.5,8.5,0,1,1,0,1,1,1,16.5
GP,M,15.0,T,1.0,0,no,yes,yes,no,5.0,3.0,3,5,4.0,10,13,14,5.0,6.5,7.0,0,1,1,0,1,1,0,11.5
GP,F,15.0,T,2.0,0,yes,no,yes,no,4.0,3.0,5,2,20.0,7,6,6,3.5,3.0,3.0,0,0,1,1,0,1,0,6.5
GP,M,15.0,A,2.0,0,yes,yes,yes,no,5.0,4.0,4,1,0.0,16,18,18,8.0,9.0,9.0,0,1,0,1,1,1,0,17.0
GP,F,15.0,A,3.5,0,no,no,yes,no,4.0,3.0,3,4,10.0,10,11,11,5.0,5.5,5.5,0,0,0,0,0,1,0,10.5
GP,F,15.0,T,3.5,0,yes,no,yes,no,5.0,1.5,2,3,8.0,7,8,8,3.5,4.0,4.0,0,0,1,1,0,1,0,7.5
GP,M,16.0,T,3.0,0,no,yes,yes,no,5.0,3.0,3,5,2.0,16,18,18,8.0,9.0,9.0,0,1,1,0,1,1,0,17.0
GP,M,15.0,T,3.5,0,yes,yes,yes,yes,2.5,3.0,5,1,6.0,10,13,13,5.0,6.5,6.5,0,1,1,1,1,1,1,11.5
GP,F,16.0,T,3.0,0,yes,yes,yes,yes,5.0,4.0,5,4,4.0,14,15,16,7.0,7.5,8.0,0,0,1,1,1,1,1,14.5
GP,M,15.0,A,1.0,0,no,yes,yes,no,5.0,5.0,3,4,6.0,18,19,19,9.0,9.5,9.5,0,1,0,0,1,1,0,18.5
GP,F,16.0,T,3.0,1,no,yes,yes,no,4.0,1.5,2,2,0.0,7,10,10,3.5,5.0,5.0,0,0,1,0,1,1,0,8.5
GP,F,16.0,T,2.0,1,no,yes,yes,no,3.0,1.5,2,5,6.0,10,13,13,5.0,6.5,6.5,0,0,1,0,1,1,0,11.5
GP,M,15.0,T,1.0,0,no,no,yes,no,3.0,5.0,2,3,10.0,18,19,19,9.0,9.5,9.5,0,1,1,0,0,1,0,18.5
GP,M,15.0,T,2.0,0,no,yes,yes,yes,5.0,4.0,2,5,8.0,9,9,9,4.5,4.5,4.5,0,1,1,0,1,1,1,9.0
GP,M,16.0,T,2.0,0,no,yes,yes,no,5.0,4.0,4,5,2.0,15,15,16,7.5,7.5,8.0,0,1,1,0,1,1,0,15.0
GP,M,15.0,T,2.0,0,no,yes,yes,no,4.0,4.0,3,2,2.0,11,13,14,5.5,6.5,7.0,0,1,1,0,1,1,0,12.0
GP,M,16.0,T,1.0,0,no,yes,yes,no,5.0,4.0,2,5,0.0,13,14,13,6.5,7.0,6.5,0,1,1,0,1,1,0,13.5
GP,M,17.0,T,2.0,1,no,yes,yes,no,5.0,2.0,4,5,20.0,9,7,8,4.5,3.5,4.0,0,1,1,0,1,1,0,8.0
GP,M,15.0,T,1.0,0,no,no,yes,no,3.0,4.0,3,4,6.0,14,13,13,7.0,6.5,6.5,0,1,1,0,0,1,0,13.5
GP,F,15.0,T,2.0,0,no,no,yes,no,3.0,2.0,3,1,2.0,16,15,15,8.0,7.5,7.5,0,0,1,0,0,1,0,15.5
GP,M,15.0,T,3.5,0,yes,yes,yes,no,5.0,5.0,4,5,6.0,16,14,15,8.0,7.0,7.5,0,1,1,1,1,1,0,15.0
GP,F,16.0,T,2.0,0,yes,yes,yes,yes,4.0,2.0,2,5,2.0,13,13,13,6.5,6.5,6.5,0,0,1,1,1,1,1,13.0
GP,M,16.0,T,1.0,0,no,yes,yes,no,3.0,4.0,4,5,18.0,14,11,13,7.0,5.5,6.5,0,1,1,0,1,1,0,12.5
GP,F,16.0,T,2.0,0,yes,no,yes,yes,5.0,4.0,4,5,0.0,8,7,8,4.0,3.5,4.0,0,0,1,1,0,1,1,7.5
GP,M,15.0,T,1.0,0,no,no,yes,no,5.0,5.0,5,5,0.0,13,13,12,6.5,6.5,6.0,0,1,1,0,0,1,0,13.0
GP,F,15.0,A,2.0,0,no,yes,yes,yes,5.0,3.0,2,1,0.0,7,10,11,3.5,5.0,5.5,0,0,0,0,1,1,1,8.5
GP,F,19.0,T,2.0,3,no,no,no,no,3.0,4.0,2,5,2.0,7,8,9,3.5,4.0,4.5,0,0,1,0,0,0,0,7.5
GP,M,18.0,T,1.0,2,no,yes,yes,no,3.0,3.0,3,4,0.0,7,4,0,3.5,2.0,0.0,0,1,1,0,1,1,0,5.5
GP,M,16.0,T,1.0,0,yes,yes,yes,no,3.0,5.0,5,4,8.0,18,18,18,9.0,9.0,9.0,0,1,1,1,1,1,0,18.0
GP,F,15.0,T,3.0,2,no,no,yes,yes,4.0,2.0,2,5,0.0,12,0,0,6.0,1.5,0.0,0,0,1,0,0,1,1,6.0
GP,F,15.0,T,1.0,0,no,yes,yes,yes,4.0,3.0,3,4,0.0,8,0,0,4.0,1.5,0.0,0,0,1,0,1,1,1,4.0
GP,F,17.0,T,1.0,0,no,no,yes,yes,3.0,4.0,4,5,12.0,10,13,12,5.0,6.5,6.0,0,0,1,0,0,1,1,11.5
GP,F,16.0,A,1.0,0,no,no,yes,no,3.0,2.0,1,5,16.0,12,11,11,6.0,5.5,5.5,0,0,0,0,0,1,0,11.5
GP,M,15.0,T,2.0,0,no,no,yes,yes,5.0,3.0,3,5,0.0,9,0,0,4.5,1.5,0.0,0,1,1,0,0,1,1,4.5
GP,F,15.0,T,3.0,0,no,yes,yes,yes,4.0,3.0,3,5,0.0,11,0,0,5.5,1.5,0.0,0,0,1,0,1,1,1,5.5
GP,M,17.0,T,2.0,0,no,no,yes,no,5.0,4.0,5,5,0.0,10,0,0,5.0,1.5,0.0,0,1,1,0,0,1,0,5.0
GP,F,16.0,A,1.0,2,no,yes,yes,yes,4.0,3.0,2,5,0.0,4,0,0,2.0,1.5,0.0,0,0,0,0,1,1,1,2.0
GP,M,16.0,T,2.0,1,no,no,yes,yes,4.0,4.0,4,5,0.0,14,12,12,7.0,6.0,6.0,0,1,1,0,0,1,1,13.0
GP,F,15.0,T,1.0,0,no,yes,yes,no,4.0,3.0,2,5,0.0,16,16,15,8.0,8.0,7.5,0,0,1,0,1,1,0,16.0
GP,M,15.0,T,3.5,0,no,no,yes,no,2.5,2.0,2,3,0.0,7,9,0,3.5,4.5,0.0,0,1,1,0,0,1,0,8.0
GP,M,16.0,T,1.0,2,no,yes,yes,no,2.5,3.0,3,2,8.0,9,9,9,4.5,4.5,4.5,0,1,1,0,1,1,0,9.0
GP,F,15.0,T,3.0,0,yes,yes,yes,no,4.0,2.0,2,5,2.0,9,11,11,4.5,5.5,5.5,0,0,1,1,1,1,0,10.0
GP,F,16.0,T,1.0,0,no,no,yes,no,3.0,4.0,4,1,2.0,14,14,13,7.0,7.0,6.5,0,0,1,0,0,1,0,14.0
GP,M,17.0,T,1.0,3,no,no,yes,no,5.0,4.0,5,5,0.0,5,0,0,2.5,1.5,0.0,0,1,1,0,0,1,0,2.5
GP,F,15.0,T,2.0,0,yes,no,yes,no,4.0,4.0,2,5,0.0,8,11,11,4.0,5.5,5.5,0,0,1,1,0,1,0,9.5
GP,F,15.0,T,2.0,3,no,no,yes,no,3.0,3.0,2,3,0.0,6,7,0,3.0,3.5,0.0,0,0,1,0,0,1,0,6.5
GP,F,15.0,T,2.0,0,yes,no,yes,no,4.0,3.0,2,5,2.0,10,11,11,5.0,5.5,5.5,0,0,1,1,0,1,0,10.5
GP,M,16.0,T,1.0,0,no,no,no,yes,3.0,3.0,2,5,0.0,7,6,0,3.5,3.0,0.0,0,1,1,0,0,0,1,6.5
GP,M,15.0,A,1.0,3,no,no,yes,no,4.0,5.0,5,5,0.0,8,9,10,4.0,4.5,5.0,0,1,0,0,0,1,0,8.5
GP,M,18.0,T,1.0,3,no,no,no,yes,2.5,3.0,5,4,0.0,6,5,0,3.0,2.5,0.0,0,1,1,0,0,0,1,5.5
GP,M,16.0,T,1.0,1,no,yes,yes,yes,4.0,4.0,4,5,6.0,12,13,14,6.0,6.5,7.0,0,1,1,0,1,1,1,12.5
GP,F,15.0,T,3.0,2,yes,yes,yes,yes,4.0,2.0,1,3,8.0,10,10,10,5.0,5.0,5.0,0,0,1,1,1,1,1,10.0
GP,M,19.0,T,1.0,3,no,no,no,yes,4.0,5.0,4,4,0.0,5,0,0,2.5,1.5,0.0,0,1,1,0,0,0,1,2.5
GP,F,17.0,T,1.0,0,no,no,yes,yes,4.0,2.0,1,4,0.0,11,11,12,5.5,5.5,6.0,0,0,1,0,0,1,1,11.0
GP,M,15.0,T,2.0,0,yes,yes,yes,no,4.0,4.0,4,1,2.0,11,8,8,5.5,4.0,4.0,0,1,1,1,1,1,0,9.5
GP,M,17.0,T,1.0,0,no,no,yes,no,2.5,2.0,2,5,8.0,16,12,13,8.0,6.0,6.5,0,1,1,0,0,1,0,14.0
GP,F,18.0,T,1.0,3,no,yes,yes,no,5.0,2.0,5,4,6.0,9,8,10,4.5,4.0,5.0,0,0,1,0,1,1,0,8.5
GP,M,16.0,T,1.0,0,no,no,yes,no,4.0,2.0,2,3,2.0,17,15,15,8.5,7.5,7.5,0,1,1,0,0,1,0,16.0
GP,M,16.0,T,2.0,1,yes,no,yes,yes,4.0,5.0,5,5,4.0,10,12,12,5.0,6.0,6.0,0,1,1,1,0,1,1,11.0
GP,M,17.0,T,1.0,2,no,yes,no,yes,3.0,3.0,2,5,0.0,7,6,0,3.5,3.0,0.0,0,1,1,0,1,0,1,6.5
GP,M,15.0,T,2.0,2,no,no,yes,yes,4.0,4.0,4,3,6.0,5,9,7,2.5,4.5,3.5,0,1,1,0,0,1,1,7.0
GP,M,16.0,T,1.0,1,no,yes,yes,no,4.0,4.0,4,5,0.0,7,0,0,3.5,1.5,0.0,0,1,1,0,1,1,0,3.5
GP,M,17.0,T,1.0,0,no,no,no,no,5.0,3.0,3,2,2.0,10,10,10,5.0,5.0,5.0,0,1,1,0,0,0,0,10.0
GP,M,17.0,T,2.0,3,no,yes,no,yes,5.0,3.0,5,5,0.0,5,8,7,2.5,4.0,3.5,0,1,1,0,1,0,1,6.5
GP,M,16.0,T,1.0,1,no,yes,no,no,4.0,5.0,2,2,16.0,12,11,12,6.0,5.5,6.0,0,1,1,0,1,0,0,11.5
GP,M,16.0,T,2.0,0,no,no,no,no,4.0,3.0,5,4,4.0,10,10,10,5.0,5.0,5.0,0,1,1,0,0,0,0,10.0
GP,F,16.0,T,2.0,0,yes,no,yes,yes,4.0,2.0,3,3,0.0,14,15,16,7.0,7.5,8.0,0,0,1,1,0,1,1,14.5
GP,F,16.0,T,2.0,0,yes,no,yes,no,5.0,1.5,5,4,0.0,6,7,0,3.0,3.5,0.0,0,0,1,1,0,1,0,6.5
GP,F,16.0,T,2.0,0,yes,no,yes,yes,4.0,4.0,2,3,0.0,14,14,14,7.0,7.0,7.0,0,0,1,1,0,1,1,14.0
GP,M,16.0,T,1.0,2,no,yes,yes,no,3.0,4.0,5,2,0.0,6,5,0,3.0,2.5,0.0,0,1,1,0,1,1,0,5.5
GP,M,16.0,T,2.0,0,yes,yes,yes,yes,4.0,3.0,2,3,2.0,13,15,16,6.5,7.5,8.0,0,1,1,1,1,1,1,14.0
GP,M,17.0,T,2.0,0,yes,yes,yes,no,4.0,4.0,4,5,0.0,13,11,10,6.5,5.5,5.0,0,1,1,1,1,1,0,12.0
